Entrez,gene name,source
2936,Gsr,http://www.sciencedirect.com/science/article/pii/S0006322308006914
2739,glo1,
4128,MAO-AÊuVNTR promoter gene,http://www.sciencedirect.com/science/article/pii/S0165178104001246
1312,COMT Val158Met) exon 4,
6532,5-HTTÊpromoter gene (44 bp ins/del),
477,"Na,K-ATPase _2",http://www.jneurosci.org/content/27/3/616.short
2571,GAD1,http://www.nature.com/mp/journal/v11/n8/abs/4001845a.html
3356,5HT2a,http://www.sciencedirect.com/science/article/pii/S0014299903024002
3358,5HT2c,
2550,GabaB,http://www.sciencedirect.com/science/article/pii/S0165614704003104
