Entrez,Gene Name,Type,,
1812,DRD1,Receptor,,
1813,DRD2,Receptor,,
1814,DRD3,Receptor,,
1815,DRD4,Receptor,,
1816,DRD5,Receptor,,
255239,ANKK1,Assoc w/DRD2,,
1312,COMT,degredation,,
4129,MAOB,degredation,,
1644,DDC,converts levodopa to dopamine,,
854927,DAT1,transporter,,
6532,"SLC6A, SERT",seratonine transporter gene that can potentiate dopamine release in PD patientes,,
not found,OCT1: transporter,transporter,,
348,APOE,assoc w/Alzheimers,,check
885,CCK,dopaminergic neurotransmission,,
886,CCKAR,CCK receptor,,
887,CCKBR,CCK receptor,,
1636,ACE,converts angiotensin I to angiotensin II,,
3060,HCRT,polymorphism assoc with sleep attacks,,
3356,HTR2A,assoc w/impulse control with dopamine agonists,,
not found,PARK8,monogenic PD,,
